nomes,idade,cidade,estado,cpf,cnpj,cpf_status,cnpj_status
Craig Stephens,88,Amparo De São Francisco,SE,47948243860,95445012183206,Valido,Valido
Christopher Benitez,79,Adamantina,SP,95509978392,82862304592038,Valido,Valido
Drew Evans,68,Abreulândia,TO,44727131951,25396849976553,Valido,Valido
Jeremy Brown,87,Acrelândia,AC,49699219700,51386606976897,Valido,Valido
Kathleen Le,54,Água Branca,AL,52147274453,59855084709049,Valido,Valido
Jessica Aguilar,72,Alvarães,AM,30657675385,18817382301491,Valido,Valido
Laurie Garcia,62,Serra Do Navio,AP,82375336828,35131606673218,Valido,Valido
Michele Richardson,54,Abaíra,BA,18008260017,56234365415343,Valido,Valido
Cynthia Hart,21,Abaiara,CE,89479793849,37907081710913,Valido,Valido
Laura Brown,43,Brasília,DF,96899073951,60789535158924,Valido,Valido
Taylor Hill,44,Afonso Cláudio,ES,81572217065,54745407149995,Valido,Valido
Jared Rodriguez,44,Abadia De Goiás,GO,64126805001,94282847286100,Valido,Valido
Charles Cross,72,Açailândia,MA,72391284829,79629550226017,Valido,Valido
Jessica Morris,53,Abadia Dos Dourados,MG,74082590587,87353618872226,Valido,Valido
Kevin Johnson,73,Água Clara,MS,77945192769,88288055470404,Valido,Valido
Jonathan Ortiz,51,Acorizal,MT,50695050095,41013557409387,Valido,Valido
Heather Kelley,60,Abaetetuba,PA,70605658331,25759333411502,Valido,Valido
Steven Johnson,70,Água Branca,PB,08268171227,37042896233445,Valido,Valido
Brooke Joseph,31,Abreu E Lima,PE,03273549840,14844812632515,Valido,Valido
Corey Fox,87,Acauã,PI,95664672579,50446896089505,Valido,Valido
Janet Montgomery,54,Abatiá,PR,94895319873,55285580250638,Valido,Valido
Michelle Rogers,28,Angra Dos Reis,RJ,62358527629,09136656822895,Valido,Valido
Shannon Leonard,23,Acari,RN,69154494770,36879767756705,Valido,Valido
Cheyenne Taylor,39,Alta Floresta D'oeste,RO,35378362105,78800509236819,Valido,Valido
Evan Stone,50,Amajari,RR,59358116005,41787992135056,Valido,Valido
Angela Johnson,34,Aceguá,RS,54716277410,37920623708900,Valido,Valido
Lawrence Schneider,84,Abdon Batista,SC,69381747504,00942603944224,Valido,Valido
Nancy Gray,45,Amparo De São Francisco,SE,65437614403,95989479080744,Valido,Valido
Jeffrey Weber,84,Adamantina,SP,98344120969,39791908296704,Valido,Valido
Aaron Foster,26,Abreulândia,TO,53807743693,11444659604849,Valido,Valido
Steven Perez,45,Acrelândia,AC,90030736781,96873209123567,Valido,Valido
Amber Collins,65,Água Branca,AL,86044842720,43739227661570,Valido,Valido
Diana Robbins,49,Alvarães,AM,56880108199,47284454679718,Valido,Valido
Lisa Oconnor,69,Serra Do Navio,AP,61769144773,13650575353878,Valido,Valido
Brenda Thompson,41,Abaíra,BA,44077097312,20495012729966,Valido,Valido
James Mitchell,41,Abaiara,CE,48435501590,27142090917846,Valido,Valido
Yvette Cruz,47,Brasília,DF,79227312803,29003764581093,Valido,Valido
Paige Maxwell,34,Afonso Cláudio,ES,53334565343,80451135118618,Valido,Valido
Cheryl Wong,88,Abadia De Goiás,GO,82332413260,05340909816811,Valido,Valido
Lisa Thomas,64,Açailândia,MA,48168750420,81957555804154,Valido,Valido
Edward Perry,84,Abadia Dos Dourados,MG,57575439811,28359590597894,Valido,Valido
Hannah Orozco,73,Água Clara,MS,06300073300,16240400029781,Valido,Valido
Robin Murphy,34,Acorizal,MT,44203692300,42412665233840,Valido,Valido
Brian Hayes,41,Abaetetuba,PA,08448912152,68890572335064,Valido,Valido
Gary Hernandez,20,Água Branca,PB,97433165827,88405657795603,Valido,Valido
Thomas Martinez,39,Abreu E Lima,PE,35079474637,69992162920178,Valido,Valido
Anthony Ferrell,70,Acauã,PI,17377898410,04339796186169,Valido,Valido
Erica Lester,81,Abatiá,PR,27422627255,11207291014321,Valido,Valido
Rachel Porter,84,Angra Dos Reis,RJ,99767862390,19920943271431,Valido,Valido
Andrew Miller,70,Acari,RN,74033450297,46052929474892,Valido,Valido
Alexandra Nguyen,28,Alta Floresta D'oeste,RO,35853487698,00531147434108,Valido,Valido
Jeffrey Lee,65,Amajari,RR,93623668788,34119604403707,Valido,Valido
Hailey Fields,52,Aceguá,RS,44744425046,07442760300673,Valido,Valido
Richard Perez,44,Abdon Batista,SC,80013042998,55556862684541,Valido,Valido
Elizabeth Torres,33,Amparo De São Francisco,SE,80581397347,38696379864797,Valido,Valido
Jonathan Humphrey,71,Adamantina,SP,65731194360,99243686862330,Valido,Valido
Scott Phillips,28,Abreulândia,TO,99113272560,07081708755393,Valido,Valido
Dale Miller,64,Acrelândia,AC,38846465164,09010774057102,Valido,Valido
Michelle Parker,31,Água Branca,AL,16701017118,51206739152610,Valido,Valido
Mark Tran,63,Alvarães,AM,57791013029,66549776373107,Valido,Valido
Charles Ray,32,Serra Do Navio,AP,28328617412,65548623736900,Valido,Valido
Jennifer Reid,59,Abaíra,BA,48019614524,50893251351762,Valido,Valido
Melissa Moore,82,Abaiara,CE,33566792608,56767623604249,Valido,Valido
Jerry Cochran,77,Brasília,DF,24300012504,02856933256334,Valido,Valido
Ashley Smith,83,Afonso Cláudio,ES,26607683401,17665633352905,Valido,Valido
Melissa Rivera,83,Abadia De Goiás,GO,63451191482,59371945677227,Valido,Valido
Dale Davis,55,Açailândia,MA,24861384710,60707070490529,Valido,Valido
Brian Brown,49,Abadia Dos Dourados,MG,11751496244,50387498899559,Valido,Valido
Michael Ruiz,89,Água Clara,MS,56481867380,17717135856320,Valido,Valido
Dakota Chase,74,Acorizal,MT,18596338624,89517836875976,Valido,Valido
Kimberly Price,67,Abaetetuba,PA,70723892296,49525804755080,Valido,Valido
James Wilson,20,Água Branca,PB,54413414322,56291230412990,Valido,Valido
Lindsey Gonzalez,48,Abreu E Lima,PE,78377841460,66555126135907,Valido,Valido
Nathan Johnson,48,Acauã,PI,57072180257,80025147888443,Valido,Valido
Kyle Jackson,60,Abatiá,PR,93673198270,18571927479590,Valido,Valido
Anthony Robinson,80,Angra Dos Reis,RJ,19668311884,27308517183775,Valido,Valido
Larry Payne,28,Acari,RN,90517535432,40954039370768,Valido,Valido
James Hernandez,57,Alta Floresta D'oeste,RO,53341413162,57858605998772,Valido,Valido
Adam Ball,53,Amajari,RR,80696507455,29829145145074,Valido,Valido
Karen Bush,79,Aceguá,RS,81780306598,30751049478942,Valido,Valido
Amanda Greer,85,Abdon Batista,SC,80646013980,08924281798891,Valido,Valido
Robert Murphy,52,Amparo De São Francisco,SE,34498225783,44107149404151,Valido,Valido
Andrew Jordan,80,Adamantina,SP,83674142171,08677246764597,Valido,Valido
Jessica Graham,77,Abreulândia,TO,09411787061,80198217251190,Valido,Valido
Christopher Sharp,41,Acrelândia,AC,01182671918,45783652943813,Valido,Valido
Mary Sexton,75,Água Branca,AL,62997407796,35443537325751,Valido,Valido
Annette Wade,35,Alvarães,AM,37380324608,32118859920538,Valido,Valido
Russell Campbell,37,Serra Do Navio,AP,05472120209,24731057492323,Valido,Valido
Gloria Johnson,22,Abaíra,BA,30040891739,58220588564200,Valido,Valido
Jody Rogers,23,Abaiara,CE,60228711584,69823509712475,Valido,Valido
Heidi Dougherty,64,Brasília,DF,62671161077,97998023147943,Valido,Valido
Charles Hines,19,Afonso Cláudio,ES,12832556930,22497735428059,Valido,Valido
Richard Roberts,59,Abadia De Goiás,GO,11808479700,88613495827142,Valido,Valido
Michael Maldonado,88,Açailândia,MA,26834963111,62184345479110,Valido,Valido
Ryan Hull,90,Abadia Dos Dourados,MG,26499846198,46272222814234,Valido,Valido
Joseph Alexander,29,Água Clara,MS,57711702400,79876003363378,Valido,Valido
Nicholas Haney,75,Acorizal,MT,26260705301,59502684355892,Valido,Valido
Cheryl Irwin,71,Abaetetuba,PA,48946440619,62384739156100,Valido,Valido
Angela Moody,49,Água Branca,PB,78236772101,25891423819047,Valido,Valido
Tracy Davila,31,Abreu E Lima,PE,51998828727,17317361955568,Valido,Valido
Charles Finley,62,Acauã,PI,78216198094,09973979576298,Valido,Valido
Jasmine Bowman,47,Abatiá,PR,67805497117,02339403695746,Valido,Valido
Matthew Villegas,43,Angra Dos Reis,RJ,32679259084,93641392994707,Valido,Valido
David James,66,Acari,RN,44474036417,43036457258336,Valido,Valido
Deborah Stone,30,Alta Floresta D'oeste,RO,96971390830,54644147871950,Valido,Valido
James Johnson,60,Amajari,RR,84708825978,96340719178209,Valido,Valido
David Garcia,51,Aceguá,RS,88158212018,07354078119630,Valido,Valido
Michael Henderson,19,Abdon Batista,SC,86183363600,06971542400706,Valido,Valido
Melissa Valdez,42,Amparo De São Francisco,SE,48990089379,27998983583230,Valido,Valido
Annette Schaefer,32,Adamantina,SP,98812406890,17261034041408,Valido,Valido
Gina Miller,45,Abreulândia,TO,87389204257,10491330123932,Valido,Valido
Susan Hall,82,Acrelândia,AC,93810388807,88943482337630,Valido,Valido
Rachel Hernandez,51,Água Branca,AL,02928232745,70627115112580,Valido,Valido
Rita Thomas,80,Alvarães,AM,08134121616,36923454519250,Valido,Valido
Christina White,76,Serra Do Navio,AP,82987287933,74651064539292,Valido,Valido
Ryan Lawson,23,Abaíra,BA,02075655545,17773110828219,Valido,Valido
Rachel Thompson,55,Abaiara,CE,75240644110,68915336124518,Valido,Valido
Shannon Taylor,59,Brasília,DF,10134295919,61855881125246,Valido,Valido
Mathew Mcintyre,20,Afonso Cláudio,ES,42325487180,47387809334985,Valido,Valido
Alexandra Edwards,61,Abadia De Goiás,GO,10792293703,82153342254396,Valido,Valido
Kristine Diaz,19,Açailândia,MA,63306307041,21952009733838,Valido,Valido
David Bell,39,Abadia Dos Dourados,MG,71348550660,78558946022800,Valido,Valido
Elizabeth Brown,61,Água Clara,MS,84090742811,34023925547888,Valido,Valido
Angela Alvarado,81,Acorizal,MT,15329728495,34089050846644,Valido,Valido
Sonia Sullivan,31,Abaetetuba,PA,49083685705,35597603495317,Valido,Valido
Cassandra Phelps,85,Água Branca,PB,82132041903,53623519792005,Valido,Valido
Denise Lin,20,Abreu E Lima,PE,19902624065,17709881561224,Valido,Valido
Travis Green,42,Acauã,PI,77975068330,36738756450380,Valido,Valido
Amanda Bridges,47,Abatiá,PR,36449626267,03034010628682,Valido,Valido
Jon Pope,88,Angra Dos Reis,RJ,48676602050,33156944719882,Valido,Valido
Olivia Hill,45,Acari,RN,07088019272,43271783173098,Valido,Valido
Donald Hernandez,44,Alta Floresta D'oeste,RO,90130590312,25187827255843,Valido,Valido
Jason Townsend,31,Amajari,RR,60648953220,17747258206954,Valido,Valido
Casey Miller,81,Aceguá,RS,09226685150,37239749273682,Valido,Valido
Rachel Zuniga,85,Abdon Batista,SC,76562648840,58883529032465,Valido,Valido
April Morris,82,Amparo De São Francisco,SE,41167925009,95542326544505,Valido,Valido
Matthew Hawkins,61,Adamantina,SP,92419305787,63984522538306,Valido,Valido
Mary Powell,28,Abreulândia,TO,59916919755,75694924573843,Valido,Valido
Rebecca Adams,87,Acrelândia,AC,99622213669,96620268562284,Valido,Valido
Garrett Fitzgerald,83,Água Branca,AL,78072753088,53824441274207,Valido,Valido
April Ho,55,Alvarães,AM,59281486660,41560690276370,Valido,Valido
Madeline Collier,20,Serra Do Navio,AP,54535960666,08089181136592,Valido,Valido
Julia Fisher,76,Abaíra,BA,26225610839,90066612725735,Valido,Valido
George Spears,22,Abaiara,CE,49612004501,64082653611378,Valido,Valido
Alan Knight,25,Brasília,DF,12518990801,45028508379950,Valido,Valido
Crystal Harris,45,Afonso Cláudio,ES,44026072800,07503279151890,Valido,Valido
Jeffery Morris,62,Abadia De Goiás,GO,80376830280,19901071201091,Valido,Valido
William Thomas,69,Açailândia,MA,59226507775,79522707648428,Valido,Valido
Courtney Farrell,89,Abadia Dos Dourados,MG,08386799609,66331457645996,Valido,Valido
Lauren Cox,75,Água Clara,MS,45186710156,54482298562736,Valido,Valido
Christopher Garza,24,Acorizal,MT,74975408317,47963686006200,Valido,Valido
Alex Davis,39,Abaetetuba,PA,51217051660,80562641315161,Valido,Valido
Diana Reese,36,Água Branca,PB,03594606660,65999809543835,Valido,Valido
Lauren Smith,43,Abreu E Lima,PE,80836239032,36308262716730,Valido,Valido
Emily Lewis,35,Acauã,PI,58649261671,20058181648939,Valido,Valido
Adam Sharp,58,Abatiá,PR,98152239500,56673154677182,Valido,Valido
Lisa Mejia,37,Angra Dos Reis,RJ,62697660526,01138725555326,Valido,Valido
Brandon Henderson,37,Acari,RN,66234993427,65423027445258,Valido,Valido
Aaron Gonzalez,46,Alta Floresta D'oeste,RO,13174525420,14094756584390,Valido,Valido
Olivia Smith,54,Amajari,RR,82739222190,07921692597539,Valido,Valido
Troy Perez,65,Aceguá,RS,70832695130,94460859119523,Valido,Valido
Jason Schwartz,63,Abdon Batista,SC,34271974684,68131835771978,Valido,Valido
Kimberly Smith,49,Amparo De São Francisco,SE,63495600515,81162174751204,Valido,Valido
Michael Parker,59,Adamantina,SP,66114594215,36012407111760,Valido,Valido
Jasmine Thomas,41,Abreulândia,TO,78049353745,76712910900070,Valido,Valido
William Oliver,86,Acrelândia,AC,02029935824,98988616047342,Valido,Valido
Daniel Paul,68,Água Branca,AL,90609800930,99805206353237,Valido,Valido
Katelyn Miller,24,Alvarães,AM,38809642627,16068314807612,Valido,Valido
Matthew Robinson,83,Serra Do Navio,AP,25336889326,82993032738581,Valido,Valido
Kathryn Nelson,19,Abaíra,BA,81274528402,94702430639094,Valido,Valido
Jennifer Arnold,83,Abaiara,CE,64842763159,53283205352388,Valido,Valido
Timothy Meyers,69,Brasília,DF,51083449028,03103354665470,Valido,Valido
John Evans,65,Afonso Cláudio,ES,08742446414,71906963800993,Valido,Valido
Jeremy Baker,26,Abadia De Goiás,GO,35837342206,25367177418202,Valido,Valido
Amy Miller,67,Açailândia,MA,62627430220,45083290252278,Valido,Valido
Joseph Hampton,78,Abadia Dos Dourados,MG,47150864090,88583202282893,Valido,Valido
Jennifer Brown,38,Água Clara,MS,32385684934,03445610532440,Valido,Valido
Anna Lewis,79,Acorizal,MT,90113736002,85176395787807,Valido,Valido
Danny Ramsey,67,Abaetetuba,PA,42387477715,53643641698020,Valido,Valido
Shane Rasmussen,37,Água Branca,PB,49159442557,92159096346610,Valido,Valido
Diana Warner,44,Abreu E Lima,PE,50299417115,74958659213691,Valido,Valido
Cody Lynn,81,Acauã,PI,76930883778,62438971948950,Valido,Valido
Isaac Jones,23,Abatiá,PR,00301696071,91277851792640,Valido,Valido
Christina Rice,56,Angra Dos Reis,RJ,30406105545,86928548661878,Valido,Valido
Kimberly Wells,76,Acari,RN,85746939447,58405373970083,Valido,Valido
Ruth Martin,81,Alta Floresta D'oeste,RO,53611835390,29278113704884,Valido,Valido
Alyssa Gray,47,Amajari,RR,55105222326,86737532147491,Valido,Valido
Yolanda Smith,54,Aceguá,RS,35715868831,33515199451150,Valido,Valido
Erica Gamble,42,Abdon Batista,SC,37734212492,47246572557628,Valido,Valido
Catherine Davidson,87,Amparo De São Francisco,SE,27619259473,98553125879935,Valido,Valido
Marisa Stewart,45,Adamantina,SP,34527762800,14010369768217,Valido,Valido
Jessica Davis,44,Abreulândia,TO,08890818166,09822537710150,Valido,Valido
Kimberly Martinez,28,Acrelândia,AC,53788671777,64772790908779,Valido,Valido
Aaron Walker,81,Água Branca,AL,12191564267,81506876834120,Valido,Valido
Theresa Brewer,45,Alvarães,AM,46777135022,99325200974453,Valido,Valido
Renee Nunez,43,Serra Do Navio,AP,31384037519,97457074118607,Valido,Valido
Tracy Conrad,89,Abaíra,BA,27968560977,73191977563500,Valido,Valido
Taylor Burton,54,Abaiara,CE,12347677241,68897923973260,Valido,Valido
Laura Orr,67,Brasília,DF,09165822803,37353057844919,Valido,Valido
Keith Hunt,58,Afonso Cláudio,ES,11888084197,82274247858360,Valido,Valido
Edward Wong,61,Abadia De Goiás,GO,79653483579,68306080570592,Valido,Valido
Karen Reynolds,30,Açailândia,MA,54933105111,96385809545065,Valido,Valido
Stephen Ellis,80,Abadia Dos Dourados,MG,94272579037,36289864766468,Valido,Valido
Sarah Smith,54,Água Clara,MS,48338117668,55559732480800,Valido,Valido
Erin Choi,49,Acorizal,MT,01085714756,08910222229061,Valido,Valido
James Baldwin,20,Abaetetuba,PA,31273083458,34103497587692,Valido,Valido
Dillon Smith,63,Água Branca,PB,92033950085,78893378603600,Valido,Valido
Rodney Norman,70,Abreu E Lima,PE,49799233801,92241755776919,Valido,Valido
Matthew Smith,79,Acauã,PI,77116719466,13305411509161,Valido,Valido
Debbie Thompson,85,Abatiá,PR,91707947740,96282279661011,Valido,Valido
Edward Tran,44,Angra Dos Reis,RJ,39478451979,24734388218410,Valido,Valido
Jennifer Bradley,63,Acari,RN,26219213025,93720298975943,Valido,Valido
Kevin Chan,60,Alta Floresta D'oeste,RO,13283908451,94831909626042,Valido,Valido
Anne Ellis,65,Amajari,RR,22165999723,45482683253498,Valido,Valido
Michael Walker,28,Aceguá,RS,95204898948,64679768575364,Valido,Valido
Erika Thomas,36,Abdon Batista,SC,88586245305,62055314315808,Valido,Valido
Devon Hernandez,25,Amparo De São Francisco,SE,39509900893,27456700961788,Valido,Valido
Vanessa Gomez,77,Adamantina,SP,09053187812,06161816436046,Valido,Valido
Toni Ponce,23,Abreulândia,TO,38889676272,62461895420401,Valido,Valido
Steven Brown,32,Acrelândia,AC,67612822920,30955995864894,Valido,Valido
Scott Hernandez,84,Água Branca,AL,18869722228,20217274068610,Valido,Valido
Sarah Hale,63,Alvarães,AM,68365882450,41733650634726,Valido,Valido
Tiffany Gonzalez,88,Serra Do Navio,AP,06163871480,84700936024057,Valido,Valido
Jennifer Sanders,90,Abaíra,BA,69452459930,21567354789802,Valido,Valido
Heather Moran,36,Abaiara,CE,91690686405,44085615504441,Valido,Valido
Christina Lynch,35,Brasília,DF,38373226028,99763660047740,Valido,Valido
Taylor Watts,33,Afonso Cláudio,ES,63316308644,95032536386702,Valido,Valido
Jonathan Reid,88,Abadia De Goiás,GO,48479126167,76094600101587,Valido,Valido
Michael Olson,38,Açailândia,MA,50485404257,44978971541691,Valido,Valido
Meghan Bishop,64,Abadia Dos Dourados,MG,61562794906,37199234261690,Valido,Valido
Eileen Kemp,32,Água Clara,MS,53275495771,03514100669601,Valido,Valido
Jamie Little,36,Acorizal,MT,25689307300,94442306277534,Valido,Valido
Amber Mills,41,Abaetetuba,PA,99239247939,30642423311333,Valido,Valido
Ashley Lee,62,Água Branca,PB,11245442759,39096423362264,Valido,Valido
Lori Buchanan,28,Abreu E Lima,PE,57593898237,38398814690790,Valido,Valido
Jenny Murray,61,Acauã,PI,82253981222,75494439200396,Valido,Valido
Laura Griffin,57,Abatiá,PR,29411563805,89016739537093,Valido,Valido
Kelly Cisneros,34,Angra Dos Reis,RJ,68965977207,31006870577717,Valido,Valido
Cynthia Larson,40,Acari,RN,69471050995,76888885552457,Valido,Valido
Kathy Franklin,57,Alta Floresta D'oeste,RO,93779066602,76088728255330,Valido,Valido
Kimberly Davis,60,Amajari,RR,80638107830,88024616643060,Valido,Valido
Kevin Roach,64,Aceguá,RS,43540058168,09949738153833,Valido,Valido
Michael Lee,78,Abdon Batista,SC,18611545265,22567771056586,Valido,Valido
Veronica Valenzuela,81,Amparo De São Francisco,SE,53211854681,78793957055617,Valido,Valido
Joann Vasquez,67,Adamantina,SP,65590221706,58400979181455,Valido,Valido
Christopher Jones,58,Abreulândia,TO,32041585358,73787161667838,Valido,Valido
James Wilkins,87,Acrelândia,AC,23942563703,91047171778300,Valido,Valido
Kevin Roberts,33,Água Branca,AL,64797592141,18400136079230,Valido,Valido
Sean Becker,55,Alvarães,AM,18671914232,05150136153860,Valido,Valido
Christopher Adams,80,Serra Do Navio,AP,16249127615,82330315204166,Valido,Valido
Jesse Scott,70,Abaíra,BA,34134950112,80261072834308,Valido,Valido
Natalie Norton,19,Abaiara,CE,86521848011,31009694657967,Valido,Valido
Terrence Hutchinson,84,Brasília,DF,60895646056,00339531918062,Valido,Valido
Brandon Johns,19,Afonso Cláudio,ES,48512072393,99480668317420,Valido,Valido
Michael Hunter,46,Abadia De Goiás,GO,69437811970,01930870663075,Valido,Valido
Jose Wallace,27,Açailândia,MA,92159469424,29339058962088,Valido,Valido
Kelly Jones,86,Abadia Dos Dourados,MG,43606548478,50343865302486,Valido,Valido
Ricky Lozano,23,Água Clara,MS,60055982875,04003566230395,Valido,Valido
Thomas Montes,77,Acorizal,MT,13475214458,80729057014034,Valido,Valido
Joshua Jones,44,Abaetetuba,PA,60116531460,41833088312268,Valido,Valido
Clayton Sellers,80,Água Branca,PB,76536363817,55784101444317,Valido,Valido
Carolyn Roberson,32,Abreu E Lima,PE,56801347055,34147573825945,Valido,Valido
Stephanie Evans,66,Acauã,PI,90496363492,50983635039250,Valido,Valido
Douglas Peterson,56,Abatiá,PR,82628175835,35365114313320,Valido,Valido
Pamela Heath,69,Angra Dos Reis,RJ,67354614360,51901074130858,Valido,Valido
Anthony Andrews,85,Acari,RN,32365343201,27863880475613,Valido,Valido
Nicole Black,86,Alta Floresta D'oeste,RO,96037020809,19934509357984,Valido,Valido
Sonya Elliott,21,Amajari,RR,99734764179,08855853387607,Valido,Valido
Kristine Hernandez,56,Aceguá,RS,77102290268,80417501786054,Valido,Valido
Marco Michael,34,Abdon Batista,SC,94596069620,00086580455774,Valido,Valido
John Ayala,53,Amparo De São Francisco,SE,68895191242,17192103518895,Valido,Valido
Chad James,40,Adamantina,SP,95979507159,36191579651424,Valido,Valido
Michael Proctor,21,Abreulândia,TO,67187332610,61779522515470,Valido,Valido
Jennifer Ellis,62,Acrelândia,AC,04799689851,39005469969265,Valido,Valido
Tyler Villanueva,40,Água Branca,AL,27515104503,80668956401272,Valido,Valido
Lisa Chang,66,Alvarães,AM,23839217857,75537395693934,Valido,Valido
Brian Cunningham,61,Serra Do Navio,AP,07983717814,82412971587791,Valido,Valido
Joshua Pearson,89,Abaíra,BA,47677983103,66374743963710,Valido,Valido
Robert Jimenez,89,Abaiara,CE,98776907139,58646597545548,Valido,Valido
Nancy Johnson,46,Brasília,DF,25290730150,43383672534270,Valido,Valido
Joshua Williams,70,Afonso Cláudio,ES,32358795445,89156049179362,Valido,Valido
Mary Simpson,30,Abadia De Goiás,GO,58185814112,95535792708337,Valido,Valido
Scott Carter,89,Açailândia,MA,44602416926,56576170025400,Valido,Valido
Alexis Patel,39,Abadia Dos Dourados,MG,81888244100,96304551633404,Valido,Valido
Cody Taylor,31,Água Clara,MS,64291609396,65833395580996,Valido,Valido
Gloria Jones,41,Acorizal,MT,51836598777,97599581820207,Valido,Valido
Jody Cherry,83,Abaetetuba,PA,44676166400,97684942630007,Valido,Valido
April Odonnell,50,Água Branca,PB,09975483127,78979810869958,Valido,Valido
Dawn Smith,25,Abreu E Lima,PE,22051591270,14829232904656,Valido,Valido
Kimberly Baldwin,85,Acauã,PI,97737761233,11612827396572,Valido,Valido
Barbara Pierce,43,Abatiá,PR,26417545920,54803287977838,Valido,Valido
Michael Mckinney,19,Angra Dos Reis,RJ,25558971193,11765203674668,Valido,Valido
Christina Wilson,51,Acari,RN,02005734705,57976140051960,Valido,Valido
Claudia Colon,78,Alta Floresta D'oeste,RO,59613602968,11262495561331,Valido,Valido
Kathy Booth,42,Amajari,RR,16834590161,64012973212147,Valido,Valido
Kristopher Gonzalez,69,Aceguá,RS,47898663942,50454334460708,Valido,Valido
Danielle Sweeney,46,Abdon Batista,SC,11684488915,61596330735380,Valido,Valido
Eric Miller,78,Amparo De São Francisco,SE,88166688301,78409111124624,Valido,Valido
Tina West,80,Adamantina,SP,87386849184,87706619283139,Valido,Valido
Rebecca Blackwell,21,Abreulândia,TO,18431153288,96001134259507,Valido,Valido
Katelyn Brooks,71,Acrelândia,AC,59780176209,56239386984488,Valido,Valido
Kimberly Bean,62,Água Branca,AL,58356202337,49246377824842,Valido,Valido
Grant Bender,27,Alvarães,AM,25659730809,79810844286965,Valido,Valido
Matthew Brown,87,Serra Do Navio,AP,65235319613,13078276627790,Valido,Valido
Edward Leach,26,Abaíra,BA,88447080277,25497333712271,Valido,Valido
Richard Gray,35,Abaiara,CE,60949227277,80398745766516,Valido,Valido
Joel Smith,38,Brasília,DF,18095422436,35574694021829,Valido,Valido
Selena Cline,33,Afonso Cláudio,ES,35697904797,21241331310206,Valido,Valido
Jessica Martinez,80,Abadia De Goiás,GO,01979572186,30920936112757,Valido,Valido
Elizabeth Delgado,81,Açailândia,MA,84729350278,36711592824582,Valido,Valido
Nancy Powell,30,Abadia Dos Dourados,MG,91853640450,55351977715403,Valido,Valido
Maria Espinoza,86,Água Clara,MS,53365412492,15886635742357,Valido,Valido
Brenda Brooks,56,Acorizal,MT,80322580609,59627388801966,Valido,Valido
Norman Lewis,29,Abaetetuba,PA,77911801703,78743352811602,Valido,Valido
George Pope,36,Água Branca,PB,32994664887,90256111338351,Valido,Valido
Rebecca Bush,18,Abreu E Lima,PE,50953837130,94345074729847,Valido,Valido
James Sharp,65,Acauã,PI,58348449876,51452470302808,Valido,Valido
Jamie Day,59,Abatiá,PR,39772331900,31957319135900,Valido,Valido
Sarah Tyler,30,Angra Dos Reis,RJ,22112512420,39755966354570,Valido,Valido
Michael Baker,21,Acari,RN,78892547682,57811868392844,Valido,Valido
Jessica Bridges,81,Alta Floresta D'oeste,RO,00563782030,75351290848191,Valido,Valido
Jamie Grimes,48,Amajari,RR,28305749231,45961757661240,Valido,Valido
Jennifer Barker,56,Aceguá,RS,99203813225,30680443011095,Valido,Valido
Debbie Villegas,57,Abdon Batista,SC,86287356740,45468473472597,Valido,Valido
Laura Johnson,51,Amparo De São Francisco,SE,68432955175,29277295923082,Valido,Valido
Justin Bradley,22,Adamantina,SP,41109453485,75140924505715,Valido,Valido
James Hudson,76,Abreulândia,TO,65612392028,91028884091437,Valido,Valido
Alec Scott,69,Acrelândia,AC,68087725506,33417989636224,Valido,Valido
Dennis Weeks,42,Água Branca,AL,80354141007,25781308585787,Valido,Valido
Jessica Higgins,26,Alvarães,AM,78104540564,08265315714027,Valido,Valido
Rebecca Lawrence,60,Serra Do Navio,AP,90780664400,65295900815381,Valido,Valido
Ashley Humphrey,34,Abaíra,BA,09731037365,84900175769910,Valido,Valido
Julie Gonzalez,26,Abaiara,CE,10827237707,28313057565779,Valido,Valido
Catherine Weiss,67,Brasília,DF,24131025310,92828773161867,Valido,Valido
Kimberly Watkins,81,Afonso Cláudio,ES,13731618338,77002394918181,Valido,Valido
Bridget Henderson,78,Abadia De Goiás,GO,35825747095,66580915323990,Valido,Valido
William Delacruz,40,Açailândia,MA,85749306526,77183842154387,Valido,Valido
Robert Williams,33,Abadia Dos Dourados,MG,82147338397,25068651132644,Valido,Valido
Tracy Lee,61,Água Clara,MS,80474539121,68516395858070,Valido,Valido
Kylie Gonzales,88,Acorizal,MT,16860212403,21183896463269,Valido,Valido
Donald Chan,71,Abaetetuba,PA,75641541796,04764185757840,Valido,Valido
Bailey Walker,68,Água Branca,PB,85994734926,52673837193904,Valido,Valido
Daniel Hall,38,Abreu E Lima,PE,99334279893,69196709533788,Valido,Valido
Emma Mckinney,29,Acauã,PI,57882408590,49147945171528,Valido,Valido
Julie Wells,21,Abatiá,PR,17956479495,10717280467110,Valido,Valido
Elizabeth Ruiz,81,Angra Dos Reis,RJ,11451944780,42426994102150,Valido,Valido
Ashley Gonzalez,81,Acari,RN,74692971541,66852716359751,Valido,Valido
Rebecca Smith,29,Alta Floresta D'oeste,RO,55908125261,88958895804491,Valido,Valido
John Potts,76,Amajari,RR,81458974910,30392902654203,Valido,Valido
Martha Wilson,33,Aceguá,RS,19200610960,91668489787634,Valido,Valido
Michael Jordan,23,Abdon Batista,SC,14199033904,41426860783343,Valido,Valido
